Address,Rent,Size,Rooms
"Rue de Bâle 30, 1201 Genève","CHF 1,790.–",56,3rm
"Rue des Pâquis, 1201 Genève","CHF 1,790.–",50,3rm
"Rue de Berne 23, 1201 Genève","CHF 1,860.–",empty,3rm
1201 Genève,"CHF 1,880.–",empty,4rm
"Rue de Lausanne 21, 1201 Genève","CHF 1,890.–",51,3rm
1201 Genève,"CHF 1,900.–",empty,3.5rm
"Grand-Rue 19, 1201 Genève","CHF 1,900.–",empty,1rm
"Rue Jean-Antoine Gautier 8, 1201 Genève","CHF 1,980.–",empty,2rm
1201 Genève,"CHF 2,040.–",70,3.5rm
"Rue Sismondi 15, 1201 Genève","CHF 2,150.–",empty,4rm
1201 Genève,"CHF 2,160.–",empty,4rm
1201 Genève,"CHF 2,200.–",empty,4rm
"Rue des Grottes 13, 1201 Genève","CHF 2,320.–",46,2rm
"Rue de Chantepoulet 10, 1201 Genève","CHF 2,360.–",76,4rm
"Rue de Lyon 8, 1201 Genève","CHF 2,390.–",78,4.5rm
"Rue des Grottes 13, 1201 Genève","CHF 2,410.–",63,3.5rm
"Rue Argand 2, 1201 Genève","CHF 2,490.–",60,3rm
"Rue Benjamin - Franklin, 1201 Genève","CHF 2,530.–",80,4rm
"Rue des Pâquis 23, 1201 Genève","CHF 2,590.–",72,4rm
"Sans caution ni démarches administratives, 1201 Genève","CHF 2,615.–",40,2rm
1201 Genève,"CHF 2,635.–",64,3rm
"Rue de Lyon, 1201 Genève","CHF 2,720.–",68,4rm
"Rue Jean-Antoine Gautier 8, 1201 Genève","CHF 2,755.–",empty,3rm
"Rue Argand 2, 1201 Genève","CHF 2,790.–",66,4rm
"25, rue Kléberg, 1201 Genève","CHF 2,950.–",60,4rm
1201 Genève,"CHF 2,950.–",empty,4rm
1201 Genève,"CHF 2,950.–",70,4rm
"Rue Benjamin - Franklin, 1201 Genève","CHF 3,150.–",119,4.5rm
"Rue Maurice-Braillard 36, 1201 Genève","CHF 3,160.–",95,4rm
1201 Genève,"CHF 3,200.–",55,2rm
1201 Genève,"CHF 3,300.–",96,4rm
"Quai du Mont-Blanc 21, 1201 Genève","CHF 3,330.–",empty,3.5rm
1201 Genève,"CHF 3,410.–",empty,4rm
"Route de Sauverny 5, 1201 Genève","CHF 3,428.–",103,6rm
"Rue des Pâquis, 1201 Genève","CHF 3,770.–",85,3rm
1201 Genève,"CHF 4,000.–",110,5rm
1201 Genève,"CHF 4,000.–",110,5rm
"sur demande, 1201 Genève","CHF 4,000.–",110,5rm
"Rue du Mont-Blanc 26, 1201 Genève","CHF 4,260.–",129,4rm
"Rue de la Navigation 1, 1201 Genève","CHF 4,440.–",175,5rm
"Quai Wilson 41, 1201 Genève","CHF 7,200.–",142,5.5rm
1201 Genève,"CHF 7,800.–",173,5rm
"Rue Abraham-Gevray 1, 1201 Genève","CHF 7,900.–",156,4rm
1201 Genève,"CHF 8,645.–",277,7rm
"Quai du Seujet 14, 1201 Genève","CHF 8,645.–",240,7rm
"31, quai du Mont-Blanc, 1201 Genève","CHF 9,000.–",285,8rm
1201 Genève,"CHF 20,000.–",330,empty
"29, quai du Mont-Blanc, 1201 Genève",empty,218,6rm
"31, quai du Mont-Blanc, 1201 Genève",empty,132,4rm
1201 Genève,empty,33,empty
"Rue Liotard 3, 1202 Genève",CHF 450.–,30,1rm
1202 Genève,"CHF 1,085.–",empty,1rm
1202 Genève,"CHF 1,150.–",empty,1rm
"Rue Henri-Veyrassat 6, 1202 Genève","CHF 1,195.–",empty,2rm
1202 Genève,"CHF 1,200.–",empty,2rm
1202 Genève,"CHF 1,300.–",empty,3rm
1202 Genève,"CHF 1,370.–",empty,2rm
"Rue Jean-Charles Amat 15, 1202 Genève","CHF 1,390.–",30,1rm
1202 Genève,"CHF 1,395.–",empty,2rm
1202 Genève,"CHF 1,430.–",empty,1.5rm
1202 Genève,"CHF 1,430.–",empty,1.5rm
1202 Genève,"CHF 1,500.–",empty,2.5rm
1202 Genève,"CHF 1,500.–",empty,2rm
1202 Genève,"CHF 1,509.–",empty,2rm
"Rue de Lausanne 55, 1202 Genève","CHF 1,580.–",38,2rm
1202 Genève,"CHF 1,590.–",empty,4rm
"Rue de Zürich 45, 1202 Genève","CHF 1,600.–",23,1rm
"Rue de Zürich 45, 1202 Genève","CHF 1,600.–",23,empty
"Rue de Lausanne, 1202 Genève","CHF 1,730.–",55,3rm
"Rue de la Servette 69/71, 1202 Genève","CHF 1,837.–",71,3.5rm
1202 Genève,"CHF 1,850.–",empty,3rm
1202 Genève,"CHF 1,850.–",50,1.5rm
1202 Genève,"CHF 1,900.–",135,4.5rm
"Avenue Blanc 46, 1202 Genève","CHF 1,915.–",53,2.5rm
1202 Genève,"CHF 2,000.–",65,3.5rm
"Rue de Lausanne, 1202 Genève","CHF 2,300.–",75,3rm
"Rue de Richemont 7, 1202 Genève","CHF 2,400.–",30,1.5rm
"Rue Antoine-Carteret 7, 1202 Genève","CHF 2,446.–",100,5rm
"Rue Pestalozzi 17, 1202 Genève","CHF 2,470.–",67,4rm
"Rue Rothschild 32, 1202 Genève","CHF 2,550.–",25,1.5rm
"Rue Antoine-Carteret 7, 1202 Genève","CHF 2,620.–",109,3.5rm
1202 Genève,"CHF 2,700.–",75,4rm
"Rue Liotard 48, 1202 Genève","CHF 2,810.–",65,4rm
1202 Genève,"CHF 2,845.–",empty,4rm
1202 Genève,"CHF 2,850.–",55,2rm
1202 Genève,"CHF 2,860.–",empty,4rm
"Rue des Lilas, 1202 Genève","CHF 2,880.–",empty,4rm
"Rue Faller 8, 1202 Genève","CHF 2,950.–",80,4rm
"Rue Rothschild 11, 1202 Genève","CHF 3,060.–",76,4rm
1202 Genève,"CHF 3,100.–",61,3rm
1202 Genève,"CHF 3,180.–",empty,5rm
"1, chemin de Mon-Soleil, 1202 Genève","CHF 3,200.–",99,5rm
1202 Genève,"CHF 3,200.–",65,3rm
"sur demande, 1202 Genève","CHF 3,200.–",65,3rm
1202 Genève,"CHF 3,200.–",65,3rm
"Rue Henri-Veyrassat, 1202 Genève","CHF 3,310.–",82,4rm
"Rue de Lausanne, 1202 Genève","CHF 3,340.–",102,5rm
1202 Genève,"CHF 3,500.–",80,4rm
1202 Genève,"CHF 3,700.–",empty,5rm
"Chemin du Pré-Cartelier 4, 1202 Genève","CHF 3,760.–",122,5.5rm
"La Voie-Creuse 5, 1202 Genève","CHF 4,040.–",122,4rm
"sur demande, 1202 Genève","CHF 4,200.–",120,4.5rm
1202 Genève,"CHF 4,300.–",142,4rm
1202 Genève,"CHF 4,600.–",110,5rm
1202 Genève,"CHF 4,900.–",empty,6.5rm
"Rue Amat, 1202 Genève","CHF 4,900.–",145,4.5rm
"Avenue De-BUDÉ 19, 1202 Genève","CHF 4,950.–",135,5rm
1202 Genève,"CHF 5,300.–",165,5rm
"France 6, 1202 Genève","CHF 5,400.–",160,6.5rm
1202 Genève,"CHF 5,400.–",170,6.5rm
1202 Genève,"CHF 5,400.–",170,6.5rm
"Avenue de France 6, 1202 Genève","CHF 5,700.–",162,6.5rm
"Rue Michelle Nicod, 1202 Genève","CHF 6,640.–",220,5rm
"122A route de Ferney, 1202 Genève","CHF 6,640.–",empty,5rm
"Parc du Château-Banquet, 1202 Genève","CHF 6,960.–",empty,9rm
"Rue Frédéric Amiel 20, 1203 Genève",CHF 185.–,12,empty
"chemin William-Lescaze 3, 1203 Genève","CHF 1,040.–",24,2rm
1203 Genève,"CHF 1,270.–",empty,2rm
1203 Genève,"CHF 1,270.–",empty,2rm
1203 Genève,"CHF 1,300.–",empty,2rm
